t,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
51,38.620000000000005,37.940000000000005,37.559285714285714,37.979285714285716,37.903571428571425,37.662142857142854,37.91857142857143,37.41571428571429,37.61857142857143,37.59214285714285,38.45547378571428,37.13928571428572,37.455
52,38.61642857142857,37.91857142857143,37.580714285714286,37.99214285714286,37.94285714285714,37.74214285714286,38.01285714285715,37.452857142857134,37.638571428571424,37.62428571428571,38.46124819642856,37.11928571428571,37.46785714285715
53,38.60928571428572,37.915,37.60357142857142,38.01714285714286,37.972142857142856,37.80428571428571,38.08571428571429,37.50071428571429,37.67071428571428,37.64071428571429,38.46333092857144,37.112857142857145,37.464285714285715
54,38.58928571428571,37.955,37.622142857142855,38.07857142857143,38.00071428571429,37.88,38.15500000000001,37.56214285714286,37.69,37.62499999999999,38.46553391071428,37.128571428571426,37.44214285714286
55,38.58285714285715,37.982142857142854,37.62785714285714,38.132857142857155,38.042142857142856,37.93785714285714,38.19428571428572,37.607142857142854,37.69357142857143,37.637857142857136,38.43696248214285,37.18571428571429,37.42857142857143
56,38.584999999999994,37.97642857142858,37.63857142857143,38.135,38.085,37.989285714285714,38.22500000000001,37.63999999999999,37.70285714285715,37.63857142857143,38.43339105357143,37.207142857142856,37.44785714285714
57,38.58428571428572,37.995000000000005,37.66000000000001,38.160714285714285,38.12571428571429,38.03928571428571,38.25857142857143,37.69714285714286,37.73499999999999,37.651428571428575,38.43339105357142,37.192857142857136,37.45714285714286
58,38.57928571428572,38.00428571428572,37.67142857142858,38.159285714285716,38.16857142857143,38.067142857142855,38.27357142857142,37.776428571428575,37.73428571428571,37.667142857142856,38.43547378571428,37.21071428571429,37.46714285714286
59,38.57857142857143,37.995000000000005,37.67,38.17285714285715,38.207857142857144,38.08714285714286,38.32357142857143,37.83571428571429,37.72571428571428,37.667857142857144,38.43839105357143,37.24857142857143,37.497142857142855
60,38.566428571428574,38.010000000000005,37.66428571428571,38.17785714285714,38.22714285714285,38.137857142857136,38.38214285714285,37.88428571428572,37.737857142857145,37.68357142857143,38.42839105357143,37.269285714285715,37.52142857142858
61,38.58142857142857,38.00714285714286,37.65500000000001,38.16857142857143,38.23857142857143,38.20214285714285,38.455,37.93928571428571,37.74571428571429,37.71642857142857,38.429105339285705,37.26857142857143,37.54500000000001
62,38.61357142857143,37.99285714285713,37.66428571428571,38.138571428571424,38.25071428571429,38.25928571428572,38.49785714285714,37.980714285714285,37.74571428571428,37.698571428571434,38.45267676785715,37.26428571428571,37.564285714285724
63,38.62214285714286,37.993571428571435,37.652142857142856,38.15714285714285,38.24714285714286,38.291428571428575,38.51285714285715,38.011428571428574,37.73857142857143,37.660000000000004,38.489819624999996,37.26142857142856,37.55785714285714
64,38.61142857142857,37.990714285714276,37.642142857142865,38.21214285714286,38.24571428571428,38.325714285714284,38.53714285714286,38.04928571428571,37.721428571428575,37.64642857142858,38.49981962499999,37.28214285714286,37.55714285714286
65,38.60571428571428,37.98571428571429,37.62928571428572,38.255,38.27428571428571,38.34714285714286,38.566428571428574,38.050714285714285,37.74285714285714,37.64928571428571,38.495533910714286,37.327857142857134,37.55571428571428
66,38.60428571428571,37.97071428571428,37.61571428571428,38.278571428571425,38.28857142857142,38.355,38.58642857142858,38.042142857142856,37.78285714285715,37.63357142857143,38.484105339285705,37.37785714285714,37.55642857142857
67,38.59357142857142,37.990714285714276,37.606428571428566,38.27928571428572,38.30642857142857,38.355714285714285,38.62928571428571,38.059285714285714,37.80928571428573,37.61571428571428,38.45279701785713,37.396428571428565,37.53642857142857
68,38.574285714285715,37.9907142857143,37.57857142857143,38.26714285714286,38.33214285714285,38.365,38.66928571428571,38.07,37.82,37.63785714285716,38.435,37.39214285714286,37.52571428571429
69,38.54285714285714,37.972142857142856,37.57214285714286,38.265,38.35142857142858,38.37428571428571,38.67714285714286,38.058571428571426,37.83142857142857,37.688571428571436,38.42857142857144,37.39857142857143,37.53142857142858
70,38.535714285714285,37.951428571428565,37.559285714285714,38.25357142857143,38.340714285714284,38.39142857142857,38.690000000000005,38.08,37.86785714285714,37.735,38.43642857142857,37.41214285714286,37.52714285714285
71,38.53071428571429,37.93785714285714,37.54785714285715,38.25071428571429,38.35928571428571,38.41571428571428,38.712857142857146,38.10857142857143,37.90071428571429,37.77,38.42714285714285,37.44,37.52357142857143
72,38.53571428571428,37.920714285714276,37.540000000000006,38.255714285714284,38.355000000000004,38.43000000000001,38.71785714285715,38.107142857142854,37.92071428571429,37.79500000000001,38.42857142857143,37.48071428571429,37.55571428571428
73,38.53357142857144,37.94714285714286,37.525,38.278571428571425,38.35285714285715,38.440000000000005,38.72857142857142,38.135714285714286,37.93142857142857,37.80285714285714,38.449999999999996,37.49142857142858,37.57714285714286
74,38.53071428571428,37.99928571428571,37.50071428571429,38.319285714285705,38.38714285714286,38.445,38.74,38.15857142857143,37.94214285714286,37.81214285714286,38.464999999999996,37.503571428571426,37.59928571428571
75,38.51571428571429,38.02642857142858,37.48785714285714,38.335,38.452857142857134,38.44642857142858,38.738571428571426,38.17071428571428,37.94571428571429,37.84642857142858,38.480714285714285,37.526428571428575,37.619285714285716
76,38.50071428571429,38.01642857142857,37.47571428571428,38.317857142857136,38.529999999999994,38.449285714285715,38.74571428571429,38.19357142857143,37.96357142857142,37.87714285714286,38.47642857142857,37.55428571428571,37.63214285714286
77,38.49142857142857,37.985,37.486428571428576,38.279999999999994,38.56357142857142,38.44785714285713,38.743571428571435,38.24785714285714,37.98357142857143,37.885,38.45071428571429,37.567142857142855,37.63285714285714
78,38.50928571428572,38.00571428571429,37.49285714285714,38.279999999999994,38.57714285714286,38.454285714285724,38.74357142857143,38.276428571428575,38.019999999999996,37.88642857142857,38.412142857142854,37.54785714285715,37.61357142857143
79,38.51928571428572,38.012857142857136,37.495000000000005,38.33714285714286,38.59214285714285,38.45142857142857,38.76,38.28214285714286,38.04857142857143,37.89071428571429,38.39142857142857,37.52214285714285,37.583571428571425
80,38.52428571428572,38.02285714285714,37.36085658571428,38.40785714285714,38.59428571428571,38.435,38.771428571428565,38.30714285714286,38.06357142857143,37.894285714285715,38.388571428571424,37.49142857142857,37.57
