t,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13
23,14.785714285714286,19.714285714285715,20.857142857142858,37.57142857142857,40.785714285714285,28.357142857142858,23.214285714285715,22.642857142857142,17.357142857142858,23.571428571428573,20.571428571428573,19.0,41.785714285714285
24,16.357142857142858,17.0,20.357142857142858,48.285714285714285,45.42857142857143,14.142857142857142,21.5,20.357142857142858,18.642857142857142,18.142857142857142,25.357142857142858,14.571428571428571,43.07142857142857
25,10.928571428571429,17.0,14.214285714285714,30.071428571428573,47.214285714285715,15.0,25.571428571428573,16.428571428571427,12.714285714285714,23.0,21.428571428571427,13.928571428571429,39.42857142857143
26,17.0,14.571428571428571,11.0,31.5,46.642857142857146,10.714285714285714,18.714285714285715,21.357142857142858,21.785714285714285,16.928571428571427,14.0,16.142857142857142,28.142857142857142
27,7.785714285714286,20.285714285714285,9.714285714285714,23.071428571428573,38.357142857142854,16.285714285714285,14.214285714285714,15.5,18.857142857142858,22.571428571428573,9.5,7.142857142857143,35.285714285714285
28,13.785714285714286,21.857142857142858,5.857142857142857,42.07142857142857,46.285714285714285,14.071428571428571,22.571428571428573,15.428571428571429,15.785714285714286,12.571428571428571,20.928571428571427,18.428571428571427,32.214285714285715
29,16.642857142857142,12.428571428571429,7.642857142857143,38.214285714285715,44.285714285714285,19.142857142857142,21.571428571428573,14.714285714285714,19.5,34.92857142857143,24.714285714285715,9.285714285714286,30.0
30,20.428571428571427,19.642857142857142,14.642857142857142,34.714285714285715,49.142857142857146,12.642857142857142,27.928571428571427,13.5,23.642857142857142,34.07142857142857,16.714285714285715,8.5,26.714285714285715
31,14.857142857142858,19.5,15.214285714285714,27.785714285714285,53.714285714285715,19.785714285714285,21.857142857142858,13.142857142857142,13.714285714285714,31.142857142857142,20.928571428571427,19.357142857142858,24.428571428571427
32,19.785714285714285,30.642857142857142,14.928571428571429,24.357142857142858,53.5,30.785714285714285,22.5,12.785714285714286,12.928571428571429,25.214285714285715,20.285714285714285,19.785714285714285,21.571428571428573
33,14.928571428571429,30.857142857142858,13.642857142857142,24.785714285714285,49.0,28.0,30.785714285714285,7.571428571428571,11.785714285714286,32.92857142857143,12.285714285714286,20.571428571428573,30.5
34,13.857142857142858,18.571428571428573,9.0,34.714285714285715,63.357142857142854,16.142857142857142,28.714285714285715,17.857142857142858,17.428571428571427,32.357142857142854,17.928571428571427,11.857142857142858,20.785714285714285
35,18.857142857142858,31.357142857142858,13.0,28.571428571428573,67.0,23.857142857142858,23.428571428571427,20.0,18.5,29.0,19.285714285714285,15.571428571428571,14.642857142857142
36,22.214285714285715,29.642857142857142,10.785714285714286,31.560109414285712,61.42857142857143,22.285714285714285,24.857142857142858,19.071428571428573,18.714285714285715,25.0,17.0,11.285714285714286,28.642857142857142
37,11.0,31.785714285714285,8.785714285714286,26.928571428571427,62.357142857142854,31.5,23.785714285714285,12.0,14.214285714285714,33.857142857142854,22.785714285714285,11.714285714285714,29.428571428571427
38,10.428571428571429,22.642857142857142,8.642857142857142,31.142857142857142,61.142857142857146,25.214285714285715,21.714285714285715,17.357142857142858,20.571428571428573,31.642857142857142,34.857142857142854,15.571428571428571,29.142857142857142
39,14.428571428571429,21.071428571428573,18.142857142857142,34.214285714285715,68.21428571428571,22.5,20.714285714285715,16.142857142857142,17.5,23.714285714285715,20.5,18.571428571428573,37.0
