t,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
0,34.08025725538095,44.221844781428565,24.135825864190476,33.11690662102381,28.423058151071427,28.735714285714288,25.47811415366667,24.866666666666667,46.73214285714285,32.174403166666664,29.40956237678572,23.315302638095236,27.782142857142855
1,31.599304874428565,43.09116987380952,21.557905462952384,46.797859001976185,46.985402016428566,59.65097019095238,43.417857142857144,59.53105652916667,69.30137095809523,46.94761585714286,47.02741951964286,37.71538941428572,35.455952380952375
2,27.922619047619044,49.37464194380953,31.481733430285715,47.15619233530953,54.54743361250001,50.57430946095237,38.39739041016666,57.725,65.73223309809524,46.447019023809524,42.70245808690476,36.180865604761905,33.871428571428574
3,24.81785714285714,59.71727976714286,27.917317694,44.69063616004762,49.49135439738096,46.26882733380953,35.36904761904762,57.1,62.02866166952381,34.33213966666667,38.86190476190476,33.60926348095238,32.1702380952381
4,25.45694308219048,53.5743644704762,24.92511157847619,44.28698474669047,41.19699450904762,52.004071365714296,34.267857142857146,54.3107142857143,57.46684714857143,29.471428571428568,22.41428571428571,22.946341795238094,27.80238095238095
5,23.734523809523807,50.477658425714296,22.872079598761907,42.19404761904762,35.513973445,52.962904636190466,37.30929517207142,53.24404761904763,39.004807025238094,28.12142857142857,22.84642857142857,30.0511037,28.75714285714286
6,26.949999999999996,45.13494001952381,18.614285714285717,41.50007998478572,43.71842308047619,53.28912479571428,35.54619993397619,53.33700891011904,41.730997501428575,36.788095238095245,27.26190476190476,34.897358719047624,36.728571428571435
7,30.495733445857145,30.65027747333334,19.395461252190476,24.088175222880952,44.63089378,52.57932133428572,28.71263796319048,53.19999999999999,38.247664168095234,38.768450785714286,37.832142857142856,33.74021586190476,34.45895998654762
8,22.84047619047619,20.94656730809524,18.91385784390476,16.661904761904765,45.83997848607142,43.1531011747619,27.075961838738092,53.4547619047619,23.60238095238095,35.90595238095238,38.734523809523814,33.78554073333333,32.37619047619047
9,13.150495350619051,30.10279716238096,17.099460551142858,13.869047619047619,46.201005041071426,28.190976127619045,20.350733201285717,37.45843748154762,24.530952380952378,25.900000000000002,33.21908618630953,34.969977766666666,18.21666666666667
10,13.74761904761905,12.794186355714286,5.444047619047619,13.15952380952381,36.00683058785714,31.576190476190476,15.570238095238096,30.35238095238095,21.642857142857142,19.023809523809526,23.70595238095238,41.12726978571429,15.341666666666667
11,12.264781064904763,16.61785714285714,7.3511904761904745,11.74174665145238,20.279449635476187,19.994047619047617,17.729533267309527,11.960714285714287,13.25357142857143,11.884523809523811,13.192857142857145,35.30032271428571,8.342857142857142
12,7.966666666666667,7.760714285714285,7.846540149904763,13.235794270500003,13.595320763083333,18.12929165095238,8.943439734523809,6.30357142857143,11.770238095238096,5.002380952380952,7.666666666666667,7.804761904761905,6.741666666666667
13,14.914285714285716,9.723809523809525,11.76547619047619,15.544047619047618,15.29761904761905,6.720238095238094,8.033333333333331,6.550000000000002,23.057142857142853,6.939285714285714,7.858333333333333,16.075,5.397619047619047
14,12.49047619047619,17.682142857142857,13.924906865047618,6.85484188954762,13.785402016428572,8.01547619047619,10.843818981595236,9.464285714285717,13.03099750142857,7.660714285714285,11.598809523809523,10.258246557142856,12.808333333333334
15,4.577380952380953,10.030952380952382,15.261588469999998,5.858413318119048,9.857142857142858,5.280952380952381,3.9628666006428572,9.714285714285714,12.883333333333335,12.924999999999999,7.771428571428571,8.295238095238094,9.10952380952381
16,5.964285714285714,17.020238095238096,12.535714285714288,8.004761904761905,7.586904761904763,6.6006896095,4.783333333333333,7.354761904761905,2.2797619047619047,7.120238095238094,5.805952380952381,8.75952380952381,6.7
17,5.805952380952382,11.806229854285714,7.723809523809524,14.722699032404766,8.441666666666666,8.521428571428574,7.45,9.852380952380953,6.273809523809525,9.296428571428573,6.091666666666667,3.195238095238095,3.279761904761905
18,5.6916666666666655,18.045238095238098,11.981714986761904,12.56222470104762,6.990915293928572,11.466666666666665,6.899771362547618,11.46547619047619,18.398809523809522,13.142857142857142,5.610714285714285,4.091666666666667,8.79047619047619
19,5.004761904761905,21.11547619047619,14.045461252190478,7.144047619047619,9.89285714285714,10.700000000000001,6.061218849547619,11.689285714285715,15.25833333333333,13.629761904761908,8.777380952380954,5.727380952380953,4.651190476190477
20,8.895238095238096,14.316666666666665,9.825111578476191,6.344047619047619,8.49047619047619,12.75,4.7307237435000005,6.452380952380953,18.15956893,7.767857142857144,10.908333333333331,5.398809523809524,14.958333333333334
21,6.5892857142857135,17.292857142857144,10.357905462952383,10.230952380952377,6.202380952380953,12.004761904761905,6.38667612445238,11.70595238095238,15.20956893,17.31190476190476,10.069086186309523,8.247619047619047,12.14586474845238
22,7.38095238095238,10.49404761904762,9.184523809523808,10.376190476190475,17.571428571428573,10.007142857142856,9.204304629857145,9.832142857142857,31.932142857142857,10.922619047619047,15.809523809523808,10.346428571428572,17.80595238095238
23,15.18452380952381,26.94474130238095,8.939936741619047,14.170318080023808,11.342857142857142,14.085714285714285,9.203571428571427,15.761904761904761,39.636904761904766,23.440476190476193,20.705990948214286,10.701190476190476,17.445238095238093
