t,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13
31,36.67785714285714,36.74142857142857,36.46785714285714,36.84428571428571,37.68212422428571,36.55857142857143,36.785714285714285,37.06928571428572,36.21285714285714,36.82142857142857,36.61071428571428,36.64714285714285,37.21857142857142
32,36.68785714285714,36.76642857142857,36.46285714285714,36.86214285714285,37.526428571428575,36.55714285714286,36.77928571428571,37.03928571428572,36.21642857142858,36.83071428571429,36.604285714285716,36.659285714285716,37.21357142857143
33,36.69142857142857,36.78071428571429,36.46214285714285,36.853571428571435,37.52928571428571,36.59142857142856,36.78142857142858,37.00928571428572,36.19714285714286,36.85928571428571,36.637142857142855,36.67642857142857,37.21071428571428
34,36.70214285714285,36.778571428571425,36.44785714285714,36.84571428571429,37.55571428571428,36.62285714285714,36.78357142857143,36.97071428571428,36.18285714285714,36.88928571428571,36.71214285714285,36.686428571428564,37.23285714285714
35,36.707142857142856,36.77357142857142,36.426428571428566,36.815714285714286,37.61714285714286,36.614285714285714,36.79571428571428,36.94142857142857,36.18785714285714,36.910714285714285,36.74071428571428,36.70285714285715,37.23714285714285
36,36.72071428571429,36.79714285714285,36.434285714285714,36.79071428571429,37.64071428571429,36.62714285714286,36.80214285714286,36.93142857142857,36.18071428571428,36.91928571428572,36.732142857142854,36.71928571428571,37.220000000000006
37,36.721428571428575,36.83571428571429,36.44285714285714,36.795,37.68785714285714,36.660000000000004,36.785000000000004,36.89285714285713,36.16428571428572,36.925,36.71714285714285,36.72214285714285,37.22071428571429
38,36.70071428571429,36.85928571428571,36.433571428571426,36.79642857142857,37.65214285714286,36.64785714285715,36.74928571428571,36.89214285714286,36.175714285714285,36.95142857142857,36.74928571428571,36.71928571428571,37.21714285714286
39,36.68857142857143,36.895714285714284,36.43571428571428,36.79357142857144,37.70642857142857,36.62714285714286,36.73285714285714,36.90857142857143,36.230000000000004,36.98714285714285,36.798571428571435,36.725714285714275,37.231428571428566
40,36.69642857142857,36.93142857142857,36.46,36.78785714285714,37.760714285714286,36.64357142857143,36.73857142857143,36.91642857142857,36.24928571428571,37.03285714285715,36.815,36.74642857142856,37.29
41,36.73142857142857,36.96214285714286,36.465,36.743571428571435,37.76426708142857,36.67785714285714,36.75071428571429,36.910000000000004,36.238571428571426,37.04642857142857,36.83,36.78642857142857,37.31928571428572
42,36.78142857142858,37.0,36.46928571428572,36.739285714285714,37.66571428571428,36.673571428571435,36.76428571428572,36.90928571428571,36.278571428571425,37.034285714285716,36.87428571428571,36.81214285714286,37.33571428571429
43,36.80785714285714,37.020714285714284,36.48928571428571,36.746428571428574,37.55138692857143,36.683571428571426,36.76499999999999,36.904999999999994,36.38071428571429,37.011428571428574,36.90642857142857,36.82999999999999,37.36642857142857
