t,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13
0,46.0,20.0,0.0,39.0,3.0,0.0,1.0,13.0,24.0,0.0,0.0,0.0,0.0
1,0.0,30.0,0.0,70.0,38.0,24.0,0.0,6.0,74.0,0.0,0.0,6.0,0.0
2,0.0,26.0,0.0,1.0,0.0,6.0,17.0,22.0,7.0,9.0,0.0,0.0,0.0
3,0.0,19.0,0.0,56.0,18.0,14.0,26.0,24.0,32.0,0.0,0.0,0.0,0.0
4,7.0,46.0,0.0,101.0,55.0,68.0,21.0,0.0,57.0,0.0,0.0,0.0,0.0
5,50.0,38.0,0.0,30.0,3.0,9.0,16.0,8.0,35.0,4.0,0.0,0.0,0.0
6,65.0,68.0,4.0,0.0,12.0,0.0,54.0,0.0,47.0,0.0,0.0,0.0,0.0
7,19.0,3.0,0.0,0.0,73.0,45.0,57.0,0.0,58.0,3.0,0.0,0.0,8.0
8,42.0,0.0,0.0,4.0,82.0,0.0,65.0,0.0,59.0,2.0,0.0,0.0,26.0
9,0.0,7.0,0.0,0.0,99.0,24.0,105.0,0.0,76.0,0.0,0.0,7.0,0.0
10,11.0,28.0,23.0,0.0,7.0,7.0,88.0,49.0,62.0,1.0,0.0,0.0,0.0
11,25.0,31.0,0.0,15.0,104.0,43.0,84.0,23.0,35.0,9.0,0.0,8.0,0.0
12,38.0,60.0,0.0,0.0,81.0,43.0,91.0,11.0,6.0,5.0,0.0,0.0,0.0
13,2.0,33.0,0.0,0.0,36.0,97.0,99.0,7.0,20.0,0.0,0.0,0.0,0.0
14,2.0,0.0,0.0,6.0,71.0,63.0,90.0,77.0,58.0,0.0,31.0,0.0,41.0
15,0.0,0.0,0.0,0.0,38.0,37.0,46.0,53.0,13.0,5.0,42.0,0.0,0.0
16,83.0,0.0,0.0,0.0,68.0,102.0,37.0,51.0,13.0,0.0,59.0,0.0,25.0
17,39.0,0.0,6.0,0.0,73.0,48.0,97.0,50.0,56.0,8.0,25.0,0.0,11.0
18,0.0,0.0,6.0,0.0,84.0,24.0,76.0,16.0,43.0,57.0,0.0,0.0,4.0
19,0.0,0.0,37.0,0.0,99.0,1.0,115.0,39.0,29.0,10.0,0.0,0.0,11.0
20,0.0,0.0,48.0,0.0,78.0,20.0,67.0,29.0,58.0,25.0,9.0,0.0,93.0
21,0.0,0.0,47.0,33.0,55.0,23.0,15.0,42.0,53.0,3.0,38.0,0.0,85.0
22,0.0,5.0,42.0,0.0,10.0,80.0,28.0,67.0,34.0,38.0,81.0,0.0,89.0
23,6.0,0.0,16.0,0.0,107.0,63.0,6.0,49.0,54.0,27.0,28.0,0.0,101.0
24,0.0,0.0,45.0,0.0,83.0,53.0,45.0,28.0,20.0,49.0,5.0,7.0,51.0
25,0.0,0.0,16.0,0.0,76.0,42.0,43.0,30.0,19.0,111.0,18.0,0.0,84.0
26,0.0,0.0,0.0,0.0,57.0,68.0,0.0,0.0,57.0,74.0,7.0,69.0,41.0
27,0.0,1.0,0.0,0.0,31.0,67.0,0.0,25.0,47.0,93.0,0.0,23.0,107.0
28,0.0,9.0,0.0,71.0,47.0,20.0,0.0,40.0,8.0,53.0,22.0,15.0,73.0
29,11.0,0.0,0.0,15.0,98.0,9.0,1.0,103.0,43.0,67.0,90.0,0.0,21.0
30,1.0,0.0,0.0,19.0,54.0,0.0,0.0,75.0,41.0,54.0,37.0,16.0,5.0
31,2.0,0.0,0.0,4.0,101.0,0.0,0.0,20.0,12.0,6.0,59.0,10.0,16.0
32,1.0,0.0,0.0,0.0,47.0,0.0,0.0,53.0,5.0,4.0,18.0,38.0,29.0
33,9.0,0.0,0.0,13.0,38.0,0.0,0.0,0.0,2.0,59.0,0.0,71.0,73.0
34,30.0,0.0,0.0,41.0,27.0,0.0,0.0,15.0,10.0,15.0,0.0,0.0,38.0
35,42.0,0.0,5.0,8.0,113.0,0.0,0.0,26.0,0.0,14.0,0.0,57.0,64.0
36,2.0,3.0,0.0,0.0,71.0,0.0,0.0,7.0,0.0,8.0,0.0,4.0,51.0
37,0.0,19.0,0.0,24.0,101.0,0.0,4.0,3.0,0.0,26.0,0.0,33.0,0.0
38,8.0,48.0,0.0,44.0,74.0,0.0,0.0,31.0,0.0,0.0,57.0,55.0,28.0
39,12.0,20.0,0.0,159.0,59.0,0.0,0.0,69.0,0.0,0.0,12.0,39.0,10.0
40,10.0,89.0,24.0,62.0,73.0,0.0,0.0,52.0,0.0,0.0,0.0,23.0,27.0
41,37.0,84.0,33.0,22.0,68.0,0.0,0.0,43.0,0.0,0.0,54.0,77.0,83.0
42,0.0,13.0,16.0,3.0,60.0,5.0,3.0,30.0,0.0,0.0,79.0,47.0,53.0
43,2.0,67.0,20.0,17.0,60.0,12.0,0.0,91.0,0.0,0.0,85.0,63.0,53.0
44,67.0,13.0,7.0,22.0,47.0,0.0,0.0,62.0,0.0,30.0,120.0,45.0,68.0
45,65.0,16.0,0.0,60.0,30.0,8.0,0.0,96.0,0.0,18.0,71.0,78.0,83.0
46,19.0,18.0,0.0,59.0,70.0,0.0,0.0,72.0,0.0,30.0,66.0,33.0,59.0
47,58.0,0.0,45.0,108.0,76.0,21.0,59.0,72.0,1.0,74.0,76.0,86.0,53.0
48,86.0,0.0,34.0,89.0,40.0,9.0,19.0,66.0,5.0,3.0,89.0,100.0,17.0
49,80.0,2.0,29.0,35.0,59.0,9.0,72.0,55.0,10.0,0.0,75.0,63.0,21.0
50,74.0,0.0,65.0,22.0,59.0,46.0,21.0,63.0,0.0,15.0,69.0,13.0,69.0
51,62.0,0.0,62.0,99.0,122.0,5.0,17.0,81.0,4.0,18.0,105.0,11.0,84.0
52,79.0,25.0,37.0,114.0,63.0,96.0,11.0,46.0,5.0,37.0,105.0,19.0,81.0
53,2.0,38.0,68.0,88.0,104.0,93.0,18.0,0.0,0.0,76.0,53.0,42.0,86.0
54,55.0,36.0,35.0,108.0,76.0,108.0,75.0,0.0,0.0,71.0,46.0,51.0,82.0
55,13.0,9.0,0.0,95.0,13.0,103.0,62.0,0.0,0.0,104.0,91.0,36.0,93.0
56,38.0,26.0,20.0,46.0,33.0,90.0,44.0,0.0,2.0,71.0,144.0,75.0,79.0
57,24.0,15.0,61.0,0.0,67.0,101.0,6.0,53.0,38.0,42.0,77.0,94.0,87.0
58,2.0,39.0,54.0,0.0,9.0,116.0,18.0,45.0,22.0,61.0,101.0,60.0,62.0
59,16.0,16.0,81.0,3.0,16.0,62.0,32.0,20.0,26.0,66.0,81.0,71.0,24.0
60,24.0,15.0,76.0,36.0,42.0,11.0,2.0,62.0,30.0,87.0,62.0,88.0,23.0
