t,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
58,33.0,74.0,0.0,0.0,59.0,74.0,57.0,83.0,113.0,75.0,68.0,14.0,66.0
59,53.0,33.0,30.0,11.0,32.0,50.0,53.0,66.0,96.0,87.0,57.0,28.0,49.0
60,43.0,32.0,53.0,45.0,31.0,76.0,47.0,45.0,75.0,72.0,66.0,23.0,32.0
61,57.0,32.0,37.0,66.0,5.0,85.0,57.0,88.0,70.0,77.0,70.0,16.0,0.0
62,47.0,27.0,0.0,29.0,19.0,71.0,54.0,75.0,5.0,73.0,52.0,32.0,7.0
63,71.0,29.0,0.0,37.0,47.0,74.0,36.0,97.0,11.0,57.0,80.0,44.0,82.0
64,24.0,51.0,9.0,69.0,13.0,86.0,50.0,67.0,89.0,67.0,45.0,40.0,27.0
65,45.0,10.0,49.0,70.0,0.0,58.0,16.0,5.0,74.0,85.0,47.0,50.0,49.0
66,12.0,34.0,36.0,21.0,8.0,6.0,32.0,76.0,50.0,50.0,33.0,29.0,26.0
67,28.0,98.0,52.0,66.0,13.0,46.0,48.0,108.0,100.0,72.0,64.0,26.0,45.0
68,26.0,73.0,44.0,63.0,2.0,88.0,45.0,90.0,64.0,9.0,41.0,43.0,58.0
69,10.0,65.0,39.0,49.0,0.0,76.0,52.0,12.0,93.0,50.0,28.0,28.0,15.0
70,56.0,71.0,36.0,32.0,8.0,24.0,81.0,25.0,105.0,105.0,41.0,62.0,12.0
71,66.0,86.0,51.0,58.0,39.0,9.0,68.0,67.0,70.0,40.0,28.0,81.0,39.0
72,31.0,71.0,48.0,67.0,71.0,0.0,52.0,57.0,97.0,21.0,23.0,61.0,57.0
73,40.0,41.0,53.0,43.0,33.0,79.0,61.0,78.0,29.0,94.0,65.0,45.0,56.0
74,32.0,51.0,25.0,54.0,30.0,69.0,44.0,90.0,20.0,73.0,31.0,28.0,15.0
75,13.0,24.0,10.0,87.0,15.0,78.0,57.0,63.0,32.0,109.0,32.0,10.0,26.0
76,42.0,17.0,0.0,40.0,5.0,82.0,54.0,70.0,81.0,83.0,49.0,13.0,42.0
77,32.0,4.0,14.0,75.0,38.0,87.0,45.0,58.0,87.0,90.0,50.0,0.0,20.0
78,31.0,59.0,19.0,60.0,23.0,58.0,50.0,28.0,98.0,93.0,45.0,0.0,65.0
79,23.0,42.0,6.0,28.0,2.0,77.0,66.0,80.0,68.0,85.0,52.0,35.0,17.0
80,32.0,86.0,4.0,15.0,17.0,50.0,31.0,74.0,103.0,11.0,30.0,66.0,39.0
81,25.0,61.0,0.0,23.0,45.0,47.0,46.0,67.0,65.0,82.0,41.0,35.0,40.0
82,14.0,25.0,0.0,55.0,45.0,35.0,28.0,35.0,76.0,61.0,43.0,32.0,57.0
83,41.0,63.0,0.0,59.0,60.0,60.0,37.0,108.0,64.0,54.0,62.0,52.0,57.0
84,41.0,58.0,0.0,37.0,87.0,52.0,31.0,55.0,88.0,56.0,87.0,27.0,33.0
85,33.0,23.0,0.0,36.0,65.0,67.0,33.0,22.0,77.0,91.0,54.0,47.0,49.0
86,49.0,72.0,0.0,49.0,80.0,90.0,48.0,4.0,69.0,71.0,32.0,13.0,29.0
87,43.0,86.0,0.0,2.0,16.0,18.0,59.0,62.0,79.0,89.0,65.0,46.0,33.0
88,26.0,48.0,0.0,13.0,34.0,46.0,49.0,72.0,45.0,77.0,86.0,17.0,18.0
89,0.0,71.0,0.0,64.0,69.0,90.0,51.0,74.0,83.0,72.0,14.0,19.0,38.0
90,15.0,32.0,0.0,55.0,89.0,28.0,70.0,81.0,21.0,96.0,39.0,13.0,26.0
91,38.0,81.0,0.0,51.0,48.0,22.0,43.0,58.0,72.0,81.0,17.0,40.0,26.0
92,27.0,53.0,0.0,49.0,70.0,70.0,35.0,41.0,84.0,40.0,71.0,53.0,36.0
93,67.0,78.0,6.0,42.0,96.0,81.0,55.0,75.0,84.0,48.0,60.0,40.0,54.0
94,54.0,24.0,9.0,48.0,91.0,85.0,50.0,68.0,63.0,10.0,80.0,63.0,35.0
95,46.0,65.0,2.0,72.0,31.0,72.0,41.0,94.0,67.0,59.0,58.0,32.0,0.0
96,13.0,80.0,0.0,65.0,86.0,80.0,58.0,84.0,88.0,13.0,76.0,20.0,1.0
97,19.0,58.0,0.0,30.0,78.0,77.0,49.0,62.0,74.0,26.0,56.0,42.0,19.0
98,21.0,72.0,0.0,38.0,85.0,51.0,46.0,52.0,116.0,88.0,50.0,43.0,38.0
99,14.0,71.0,0.0,71.0,67.0,23.0,37.0,68.0,52.0,105.0,58.0,47.0,20.0
100,30.0,73.0,0.0,79.0,80.0,33.0,39.0,63.0,55.0,84.0,64.0,68.0,43.0
101,45.0,46.0,1.0,42.0,61.0,67.0,17.0,75.0,20.0,86.0,86.0,43.0,52.0
102,7.0,40.0,7.0,40.0,33.0,54.0,59.0,69.0,49.0,82.0,72.0,22.0,54.0
103,12.0,3.0,3.0,43.0,78.0,52.0,39.0,48.0,92.0,39.0,39.0,47.0,35.0
104,41.0,3.0,0.0,45.0,98.0,32.0,53.0,56.0,98.0,87.0,34.0,66.0,12.0
105,63.0,56.0,0.0,57.0,62.0,63.0,66.0,58.0,98.0,83.0,18.0,70.0,3.0
106,8.0,71.0,0.0,52.0,32.0,19.0,41.0,72.0,46.0,107.0,2.0,46.0,2.0
107,73.0,72.0,0.0,14.0,15.0,84.0,17.0,63.0,89.0,77.0,40.0,29.0,33.0
108,33.0,27.0,0.0,48.0,42.0,96.0,13.0,36.0,74.0,59.0,90.0,30.0,41.0
109,10.0,40.0,0.0,28.0,108.0,68.0,29.0,78.0,50.0,19.0,11.0,39.0,3.0
110,28.0,55.0,18.0,66.0,88.0,54.0,24.0,73.0,45.0,61.0,31.0,51.0,1.0
111,33.0,28.0,0.0,25.0,53.0,28.0,40.0,71.0,77.0,76.0,33.0,1.0,52.0
112,24.0,80.0,0.0,45.0,41.0,63.0,33.0,90.0,95.0,2.0,56.0,10.0,7.0
113,61.0,67.0,0.0,51.0,106.0,25.0,32.0,70.0,78.0,0.0,56.0,27.0,10.0
114,22.0,20.0,0.0,50.0,8.0,48.0,22.0,72.0,39.0,13.0,19.0,0.0,34.0
115,9.0,12.0,6.0,69.0,23.0,55.0,59.0,76.0,113.0,58.0,70.0,54.0,33.0
116,6.0,19.0,21.0,51.0,94.0,61.0,41.0,75.0,94.0,22.0,28.0,36.0,57.0
117,21.0,88.0,11.0,48.0,65.0,76.0,36.0,64.0,94.0,55.0,57.0,73.0,18.0
118,1.0,36.0,21.0,42.0,95.0,69.0,30.0,45.0,71.0,94.0,73.0,56.0,49.0
119,27.0,56.0,2.0,45.0,78.0,23.0,30.0,68.0,65.0,62.0,62.0,44.0,24.0
120,0.0,78.0,0.0,61.0,62.0,3.0,27.0,81.0,66.0,63.0,54.0,0.0,10.0
121,22.0,78.0,11.0,56.0,110.0,39.0,23.0,30.0,73.0,99.0,13.0,26.0,13.0
122,39.0,26.0,37.0,27.0,82.0,76.0,20.0,47.0,58.0,73.0,53.0,0.0,51.0
123,38.0,62.0,0.0,44.0,68.0,53.0,23.0,90.0,77.0,81.0,18.0,0.0,40.0
124,21.0,16.0,23.0,58.0,64.0,17.0,49.0,69.0,90.0,87.0,26.0,0.0,33.0
125,10.0,32.0,56.0,17.0,62.0,72.0,27.0,10.0,27.0,98.0,47.0,0.0,25.0
126,42.0,48.0,54.0,38.0,34.0,85.0,50.0,20.0,12.0,91.0,82.0,8.0,53.0
127,47.0,67.0,49.0,53.0,93.0,89.0,31.0,8.0,29.0,58.0,51.0,28.0,33.0
128,30.0,66.0,31.0,58.0,89.0,67.0,33.0,69.0,52.0,40.0,47.0,59.0,0.0
129,28.0,77.0,54.0,42.0,63.0,9.0,32.0,90.0,36.0,76.0,56.0,9.0,30.0
130,32.0,52.0,16.0,50.0,97.0,67.0,44.0,77.0,107.0,69.0,26.0,12.0,22.0
131,51.0,72.0,48.0,11.0,91.0,73.0,42.0,77.0,70.0,67.0,79.0,60.0,44.0
132,19.0,69.0,2.0,20.0,69.0,28.0,25.0,58.0,79.0,78.0,49.0,72.0,52.0
133,39.0,31.0,7.0,44.0,66.0,71.0,39.0,40.0,77.0,61.0,41.0,35.0,13.0
134,6.0,56.0,34.0,16.0,5.0,48.0,34.0,54.0,89.0,71.0,67.0,31.0,32.0
135,39.0,85.0,8.0,25.0,0.0,48.0,35.0,76.0,81.0,70.0,17.0,37.0,18.0
136,11.0,79.0,45.0,41.0,57.0,84.0,78.0,73.0,64.0,16.0,46.0,19.0,6.0
137,49.0,74.0,43.0,63.0,75.0,89.0,5.0,43.0,113.0,51.0,61.0,49.0,47.0
138,41.0,4.0,57.0,67.0,53.0,55.0,22.0,58.0,110.0,56.0,39.0,26.0,10.0
139,12.0,26.0,48.0,57.0,87.0,39.0,40.0,85.0,98.0,30.0,68.0,24.0,22.0
140,2.0,72.0,18.0,45.0,66.0,0.0,23.0,76.0,100.0,53.0,33.0,21.0,3.0
141,11.0,35.0,4.0,49.0,75.0,2.0,67.0,77.0,54.0,101.0,0.0,83.0,81.0
142,18.0,12.0,53.0,61.0,100.0,31.0,19.0,69.0,0.0,90.0,0.0,36.0,86.0
143,4.0,18.0,42.0,40.0,92.0,50.0,45.0,22.0,27.0,68.0,0.0,41.0,34.0
144,37.0,0.0,22.0,58.0,47.0,66.0,27.0,17.0,53.0,35.0,52.0,0.0,37.0
145,58.0,32.0,19.0,53.0,90.0,44.0,71.0,36.0,62.0,64.0,23.0,12.0,33.0
146,35.0,52.0,47.0,36.0,76.0,85.0,63.0,54.0,44.0,67.0,63.0,60.0,23.0
